Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,olon,VT15 Pearl Ribbon VelourTouch,#f3f3ee,0.962870481446316,0.006916827824266097,106.9661956663345,,,Solid Laminates,D65,10,M1,2026-05-05T21:10:24.394Z,Nix Spectro L,6.80000000e-1,7.80000000e-1,8.30000000e-1,8.49000000e-1,8.55000000e-1,8.62000000e-1,8.68000000e-1,8.70000000e-1,8.74000000e-1,8.80000000e-1,8.88000000e-1,8.92000000e-1,8.94000000e-1,8.95000000e-1,8.94000000e-1,8.92000000e-1,8.91000000e-1,8.94000000e-1,8.99000000e-1,9.02000000e-1,9.01000000e-1,8.99000000e-1,8.98000000e-1,8.96000000e-1,8.94000000e-1,8.95000000e-1,8.93000000e-1,8.91000000e-1,8.90000000e-1,8.90000000e-1,8.91000000e-1,"[0.68,0.78,0.83,0.849,0.855,0.862,0.868,0.87,0.874,0.88,0.888,0.892,0.894,0.895,0.894,0.892,0.891,0.894,0.899,0.902,0.901,0.899,0.898,0.896,0.894,0.895,0.893,0.891,0.89,0.89,0.891]"
DB,olon,VT16 Mocha Charmeuse VelourTouch,#cfc9bf,0.8390735269190299,0.016403809118831825,82.93107005556192,,,Solid Laminates,D65,10,M1,2026-05-05T21:11:34.258Z,Nix Spectro L,3.59000000e-1,4.33000000e-1,4.83000000e-1,5.07000000e-1,5.22000000e-1,5.34000000e-1,5.40000000e-1,5.42000000e-1,5.42000000e-1,5.43000000e-1,5.50000000e-1,5.61000000e-1,5.72000000e-1,5.80000000e-1,5.85000000e-1,5.88000000e-1,5.95000000e-1,6.04000000e-1,6.11000000e-1,6.16000000e-1,6.17000000e-1,6.15000000e-1,6.14000000e-1,6.12000000e-1,6.09000000e-1,6.09000000e-1,6.06000000e-1,6.04000000e-1,6.03000000e-1,6.02000000e-1,6.02000000e-1,"[0.359,0.433,0.483,0.507,0.522,0.534,0.54,0.542,0.542,0.543,0.55,0.561,0.572,0.58,0.585,0.588,0.595,0.604,0.611,0.616,0.617,0.615,0.614,0.612,0.609,0.609,0.606,0.604,0.603,0.602,0.602]"
DB,olon,VT10 Fresh Linen VelourTouch,#e7e3d9,0.9153024724036174,0.013965896899219175,85.63768883423154,,,Solid Laminates,D65,10,M1,2026-05-05T21:12:15.517Z,Nix Spectro L,5.50000000e-1,6.31000000e-1,6.73000000e-1,6.89000000e-1,6.95000000e-1,7.02000000e-1,7.09000000e-1,7.13000000e-1,7.20000000e-1,7.29000000e-1,7.39000000e-1,7.47000000e-1,7.52000000e-1,7.56000000e-1,7.59000000e-1,7.61000000e-1,7.68000000e-1,7.78000000e-1,7.86000000e-1,7.91000000e-1,7.91000000e-1,7.90000000e-1,7.91000000e-1,7.90000000e-1,7.87000000e-1,7.89000000e-1,7.87000000e-1,7.85000000e-1,7.85000000e-1,7.85000000e-1,7.86000000e-1,"[0.55,0.631,0.673,0.689,0.695,0.702,0.709,0.713,0.72,0.729,0.739,0.747,0.752,0.756,0.759,0.761,0.768,0.778,0.786,0.791,0.791,0.79,0.791,0.79,0.787,0.789,0.787,0.785,0.785,0.785,0.786]"
DB,olon,VT01 Cashmere Dusk VelourTouch,#595957,0.4620804253332544,0.0028857344495425135,98.00373591915275,,,Solid Laminates,D65,10,M1,2026-05-05T21:13:06.107Z,Nix Spectro L,9.16000000e-2,9.88000000e-2,9.89000000e-2,9.77000000e-2,9.62000000e-2,9.52000000e-2,9.43000000e-2,9.37000000e-2,9.38000000e-2,9.45000000e-2,9.63000000e-2,9.81000000e-2,9.92000000e-2,9.95000000e-2,9.95000000e-2,9.88000000e-2,9.80000000e-2,9.79000000e-2,9.90000000e-2,1.01000000e-1,1.02000000e-1,1.01000000e-1,9.90000000e-2,9.77000000e-2,9.66000000e-2,9.59000000e-2,9.48000000e-2,9.36000000e-2,9.27000000e-2,9.19000000e-2,9.13000000e-2,"[0.0916,0.0988,0.0989,0.0977,0.0962,0.0952,0.0943,0.0937,0.0938,0.0945,0.0963,0.0981,0.0992,0.0995,0.0995,0.0988,0.098,0.0979,0.099,0.101,0.102,0.101,0.099,0.0977,0.0966,0.0959,0.0948,0.0936,0.0927,0.0919,0.0913]"
DB,olon,VT03 Black VelourTouch,#2f3032,0.30932973299556465,0.0036608614772669335,275.6876432047318,,,Solid Laminates,D65,10,M1,2026-05-05T21:13:52.131Z,Nix Spectro L,3.52000000e-2,3.64000000e-2,3.48000000e-2,3.35000000e-2,3.24000000e-2,3.15000000e-2,3.08000000e-2,3.04000000e-2,3.03000000e-2,3.03000000e-2,3.04000000e-2,3.02000000e-2,3.00000000e-2,2.97000000e-2,2.96000000e-2,2.95000000e-2,2.93000000e-2,2.92000000e-2,2.93000000e-2,2.94000000e-2,2.94000000e-2,2.93000000e-2,2.91000000e-2,2.89000000e-2,2.89000000e-2,2.89000000e-2,2.88000000e-2,2.87000000e-2,2.85000000e-2,2.84000000e-2,2.83000000e-2,"[0.0352,0.0364,0.0348,0.0335,0.0324,0.0315,0.0308,0.0304,0.0303,0.0303,0.0304,0.0302,0.03,0.0297,0.0296,0.0295,0.0293,0.0292,0.0293,0.0294,0.0294,0.0293,0.0291,0.0289,0.0289,0.0289,0.0288,0.0287,0.0285,0.0284,0.0283]"
DB,olon,VF300 Blank Canvas VelourTouch,#f1f2ef,0.958452718440927,0.0038765389921131726,119.8921930360413,,,Solid Laminates,D65,10,M1,2026-05-05T21:14:39.109Z,Nix Spectro L,6.72000000e-1,7.75000000e-1,8.31000000e-1,8.52000000e-1,8.61000000e-1,8.69000000e-1,8.75000000e-1,8.76000000e-1,8.79000000e-1,8.82000000e-1,8.86000000e-1,8.86000000e-1,8.85000000e-1,8.82000000e-1,8.81000000e-1,8.77000000e-1,8.76000000e-1,8.79000000e-1,8.84000000e-1,8.86000000e-1,8.85000000e-1,8.83000000e-1,8.82000000e-1,8.80000000e-1,8.77000000e-1,8.79000000e-1,8.78000000e-1,8.76000000e-1,8.76000000e-1,8.76000000e-1,8.77000000e-1,"[0.672,0.775,0.831,0.852,0.861,0.869,0.875,0.876,0.879,0.882,0.886,0.886,0.885,0.882,0.881,0.877,0.876,0.879,0.884,0.886,0.885,0.883,0.882,0.88,0.877,0.879,0.878,0.876,0.876,0.876,0.877]"
DB,olon,VT11 Merino II VelourTouch,#363a44,0.34921594700889397,0.01729490300070791,267.48029847414466,,,Solid Laminates,D65,10,M1,2026-05-05T21:15:26.503Z,Nix Spectro L,5.53000000e-2,5.94000000e-2,5.94000000e-2,5.86000000e-2,5.75000000e-2,5.64000000e-2,5.51000000e-2,5.37000000e-2,5.23000000e-2,5.06000000e-2,4.91000000e-2,4.74000000e-2,4.57000000e-2,4.42000000e-2,4.32000000e-2,4.21000000e-2,4.06000000e-2,3.92000000e-2,3.87000000e-2,3.87000000e-2,3.89000000e-2,3.93000000e-2,3.99000000e-2,4.04000000e-2,4.08000000e-2,4.15000000e-2,4.17000000e-2,4.16000000e-2,4.12000000e-2,4.08000000e-2,4.04000000e-2,"[0.0553,0.0594,0.0594,0.0586,0.0575,0.0564,0.0551,0.0537,0.0523,0.0506,0.0491,0.0474,0.0457,0.0442,0.0432,0.0421,0.0406,0.0392,0.0387,0.0387,0.0389,0.0393,0.0399,0.0404,0.0408,0.0415,0.0417,0.0416,0.0412,0.0408,0.0404]"
DB,olon,VT06 Oxford Grey VelourTouch,#c6c5c0,0.8238335103995477,0.008237049684131807,101.19920747532439,,,Solid Laminates,D65,10,M1,2026-05-05T21:16:12.075Z,Nix Spectro L,3.95000000e-1,4.62000000e-1,5.03000000e-1,5.20000000e-1,5.29000000e-1,5.35000000e-1,5.39000000e-1,5.37000000e-1,5.35000000e-1,5.33000000e-1,5.36000000e-1,5.44000000e-1,5.52000000e-1,5.57000000e-1,5.61000000e-1,5.63000000e-1,5.67000000e-1,5.71000000e-1,5.74000000e-1,5.72000000e-1,5.67000000e-1,5.61000000e-1,5.58000000e-1,5.55000000e-1,5.51000000e-1,5.50000000e-1,5.47000000e-1,5.43000000e-1,5.41000000e-1,5.39000000e-1,5.37000000e-1,"[0.395,0.462,0.503,0.52,0.529,0.535,0.539,0.537,0.535,0.533,0.536,0.544,0.552,0.557,0.561,0.563,0.567,0.571,0.574,0.572,0.567,0.561,0.558,0.555,0.551,0.55,0.547,0.543,0.541,0.539,0.537]"
DB,olon,VT24 Jersey Fog VelourTouch,#9a9895,0.680160896032742,0.0047507043622612415,76.54165609301975,,,Solid Laminates,D65,10,M1,2026-05-05T21:17:06.178Z,Nix Spectro L,2.48000000e-1,2.85000000e-1,3.00000000e-1,3.04000000e-1,3.03000000e-1,3.02000000e-1,3.02000000e-1,3.03000000e-1,3.07000000e-1,3.12000000e-1,3.15000000e-1,3.11000000e-1,3.06000000e-1,3.03000000e-1,3.03000000e-1,3.06000000e-1,3.14000000e-1,3.26000000e-1,3.37000000e-1,3.38000000e-1,3.31000000e-1,3.16000000e-1,3.00000000e-1,2.93000000e-1,2.95000000e-1,3.06000000e-1,3.23000000e-1,3.46000000e-1,3.74000000e-1,3.99000000e-1,4.21000000e-1,"[0.248,0.285,0.3,0.304,0.303,0.302,0.302,0.303,0.307,0.312,0.315,0.311,0.306,0.303,0.303,0.306,0.314,0.326,0.337,0.338,0.331,0.316,0.3,0.293,0.295,0.306,0.323,0.346,0.374,0.399,0.421]"
DB,olon,UT304 Uptown UrbanTouch,#5c4436,0.4094683463548099,0.039910442296576844,51.3475231546966,,,Textured Laminates,D65,10,M1,2026-05-05T21:17:53.425Z,Nix Spectro L,4.55000000e-2,4.58000000e-2,4.16000000e-2,3.89000000e-2,3.67000000e-2,3.60000000e-2,3.75000000e-2,4.09000000e-2,4.70000000e-2,5.60000000e-2,6.27000000e-2,6.30000000e-2,6.04000000e-2,5.72000000e-2,5.43000000e-2,5.18000000e-2,5.15000000e-2,5.59000000e-2,6.75000000e-2,8.80000000e-2,1.03000000e-1,1.08000000e-1,1.06000000e-1,1.04000000e-1,1.02000000e-1,1.02000000e-1,1.01000000e-1,1.00000000e-1,1.00000000e-1,9.98000000e-2,9.95000000e-2,"[0.0455,0.0458,0.0416,0.0389,0.0367,0.036,0.0375,0.0409,0.047,0.056,0.0627,0.063,0.0604,0.0572,0.0543,0.0518,0.0515,0.0559,0.0675,0.088,0.103,0.108,0.106,0.104,0.102,0.102,0.101,0.1,0.1,0.0998,0.0995]"
DB,olon,UT303 Central Park UrbanTouch,#ebe7df,0.929263450143061,0.011642564331464064,86.25872073361336,,,Textured Laminates,D65,10,M1,2026-05-05T21:18:54.677Z,Nix Spectro L,5.73000000e-1,6.62000000e-1,7.11000000e-1,7.31000000e-1,7.40000000e-1,7.48000000e-1,7.56000000e-1,7.60000000e-1,7.65000000e-1,7.74000000e-1,7.83000000e-1,7.89000000e-1,7.93000000e-1,7.94000000e-1,7.96000000e-1,7.95000000e-1,7.99000000e-1,8.08000000e-1,8.17000000e-1,8.23000000e-1,8.25000000e-1,8.25000000e-1,8.25000000e-1,8.24000000e-1,8.22000000e-1,8.24000000e-1,8.23000000e-1,8.22000000e-1,8.23000000e-1,8.23000000e-1,8.24000000e-1,"[0.573,0.662,0.711,0.731,0.74,0.748,0.756,0.76,0.765,0.774,0.783,0.789,0.793,0.794,0.796,0.795,0.799,0.808,0.817,0.823,0.825,0.825,0.825,0.824,0.822,0.824,0.823,0.822,0.823,0.823,0.824]"
DB,olon,HG22 Warm Alpaca,#a29e96,0.70026097591866,0.012783840729352977,86.44137750416661,,,Solid Laminates,D65,10,M1,2026-05-05T21:22:03.138Z,Nix Spectro L,2.48000000e-1,2.81000000e-1,2.96000000e-1,3.02000000e-1,3.04000000e-1,3.08000000e-1,3.11000000e-1,3.14000000e-1,3.19000000e-1,3.24000000e-1,3.30000000e-1,3.32000000e-1,3.34000000e-1,3.36000000e-1,3.38000000e-1,3.40000000e-1,3.44000000e-1,3.51000000e-1,3.56000000e-1,3.60000000e-1,3.61000000e-1,3.58000000e-1,3.54000000e-1,3.51000000e-1,3.47000000e-1,3.44000000e-1,3.40000000e-1,3.36000000e-1,3.32000000e-1,3.30000000e-1,3.28000000e-1,"[0.248,0.281,0.296,0.302,0.304,0.308,0.311,0.314,0.319,0.324,0.33,0.332,0.334,0.336,0.338,0.34,0.344,0.351,0.356,0.36,0.361,0.358,0.354,0.351,0.347,0.344,0.34,0.336,0.332,0.33,0.328]"
DB,olon,HG217 Black GlossTouch,#0f0f0e,0.1679921580794396,0.0009091464291979506,87.05574209995837,,,Solid Laminates,D65,10,M1,2026-05-05T21:25:34.249Z,Nix Spectro L,4.67000000e-3,4.70000000e-3,4.53000000e-3,4.49000000e-3,4.64000000e-3,4.64000000e-3,4.57000000e-3,4.57000000e-3,4.65000000e-3,4.69000000e-3,4.74000000e-3,4.76000000e-3,4.76000000e-3,4.73000000e-3,4.64000000e-3,4.59000000e-3,4.70000000e-3,4.85000000e-3,4.89000000e-3,4.84000000e-3,4.80000000e-3,4.77000000e-3,4.77000000e-3,4.77000000e-3,4.77000000e-3,4.76000000e-3,4.72000000e-3,4.69000000e-3,4.66000000e-3,4.63000000e-3,4.55000000e-3,"[0.00467,0.0047,0.00453,0.00449,0.00464,0.00464,0.00457,0.00457,0.00465,0.00469,0.00474,0.00476,0.00476,0.00473,0.00464,0.00459,0.0047,0.00485,0.00489,0.00484,0.0048,0.00477,0.00477,0.00477,0.00477,0.00476,0.00472,0.00469,0.00466,0.00463,0.00455]"
DB,olon,HG23 Cashmere Dusk GlossTouch,#4a4947,0.40518305359555995,0.003965927460761859,80.48102956250534,,,Solid Laminates,D65,10,M1,2026-05-05T21:26:28.890Z,Nix Spectro L,5.55000000e-2,6.10000000e-2,6.24000000e-2,6.27000000e-2,6.27000000e-2,6.29000000e-2,6.30000000e-2,6.31000000e-2,6.37000000e-2,6.44000000e-2,6.51000000e-2,6.52000000e-2,6.52000000e-2,6.53000000e-2,6.54000000e-2,6.57000000e-2,6.65000000e-2,6.77000000e-2,6.86000000e-2,6.92000000e-2,6.90000000e-2,6.83000000e-2,6.75000000e-2,6.68000000e-2,6.62000000e-2,6.60000000e-2,6.54000000e-2,6.49000000e-2,6.45000000e-2,6.42000000e-2,6.39000000e-2,"[0.0555,0.061,0.0624,0.0627,0.0627,0.0629,0.063,0.0631,0.0637,0.0644,0.0651,0.0652,0.0652,0.0653,0.0654,0.0657,0.0665,0.0677,0.0686,0.0692,0.069,0.0683,0.0675,0.0668,0.0662,0.066,0.0654,0.0649,0.0645,0.0642,0.0639]"
DB,olon,HG18 Cotton Mist GlossTouch,#f2f4f5,0.9669199797919942,0.002251647772161501,200.94776140564545,,,Solid Laminates,D65,10,M1,2026-05-05T21:27:51.375Z,Nix Spectro L,6.99000000e-1,8.11000000e-1,8.74000000e-1,8.99000000e-1,9.08000000e-1,9.17000000e-1,9.22000000e-1,9.23000000e-1,9.22000000e-1,9.21000000e-1,9.21000000e-1,9.19000000e-1,9.14000000e-1,9.09000000e-1,9.06000000e-1,9.00000000e-1,8.96000000e-1,8.96000000e-1,9.00000000e-1,9.02000000e-1,9.01000000e-1,9.00000000e-1,9.00000000e-1,8.99000000e-1,8.98000000e-1,9.03000000e-1,9.04000000e-1,9.05000000e-1,9.08000000e-1,9.11000000e-1,9.14000000e-1,"[0.699,0.811,0.874,0.899,0.908,0.917,0.922,0.923,0.922,0.921,0.921,0.919,0.914,0.909,0.906,0.9,0.896,0.896,0.9,0.902,0.901,0.9,0.9,0.899,0.898,0.903,0.904,0.905,0.908,0.911,0.914]"
DB,olon,VT26 Bamboo Shoots VelourTouch,#939d9e,0.6889291268989881,0.011998899281152347,199.42789282097738,,,Solid Laminates,D65,10,M1,2026-05-05T21:28:49.428Z,Nix Spectro L,2.87000000e-1,3.22000000e-1,3.35000000e-1,3.38000000e-1,3.37000000e-1,3.38000000e-1,3.39000000e-1,3.40000000e-1,3.44000000e-1,3.54000000e-1,3.67000000e-1,3.72000000e-1,3.68000000e-1,3.59000000e-1,3.47000000e-1,3.30000000e-1,3.12000000e-1,3.00000000e-1,2.93000000e-1,2.89000000e-1,2.90000000e-1,3.03000000e-1,3.25000000e-1,3.40000000e-1,3.50000000e-1,3.62000000e-1,3.69000000e-1,3.69000000e-1,3.60000000e-1,3.52000000e-1,3.42000000e-1,"[0.287,0.322,0.335,0.338,0.337,0.338,0.339,0.34,0.344,0.354,0.367,0.372,0.368,0.359,0.347,0.33,0.312,0.3,0.293,0.289,0.29,0.303,0.325,0.34,0.35,0.362,0.369,0.369,0.36,0.352,0.342]"